Date,Keyword,Score,Avg_Views,New_Clips,Avg_Likes,Avg_Comments,Avg_Shares
2026-02-08,goodmolecules,22276.88,319258,20.0,,,
2026-02-09,goodmolecules,28162.17,1158824,20.0,,,
2026-02-10,goodmolecules,39386.82,1058964,20.0,,,
2026-02-11,goodmolecules,26420.09,465776,20.0,,,
2026-02-12,goodmolecules,21818.47,289172,20.0,,,
2026-02-13,goodmolecules,11853.19,371764,20.0,,,
2026-02-14,goodmolecules,14145.5,340717,50.0,21020.0,114.0,849.0
2026-02-15,goodmolecules,25527.08,889333,50.0,32629.0,159.0,1146.0
2026-02-16,goodmolecules,12631.21,304209,50.0,18783.0,98.0,693.0
2026-02-17,goodmolecules,14539.6,377557,,21144.0,95.0,783.0
2026-02-18,goodmolecules,37073.56,1068277,,51767.0,253.0,1458.0
2026-02-19,goodmolecules,12578.34,510245,,14529.0,105.0,513.0
2026-02-20,goodmolecules,42026.84,1215490,,58624.0,279.0,1672.0
2026-02-21,goodmolecules,13923.84,300560,,21424.0,102.0,866.0
2026-03-07,goodmolecules,49806.29,829424,,81866.0,289.0,3473.0
2026-03-08,goodmolecules,6046.98,227183,,7256.0,73.0,94.0
2026-03-09,goodmolecules,1341.53,29843,,1915.0,42.0,124.0
2026-03-10,goodmolecules,48956.53,744283,,81998.0,257.0,2624.0
2026-03-11,goodmolecules,1540.11,66206,,1615.0,35.0,138.0
2026-03-13,goodmolecules,7432.21,600935,,2624.0,55.0,51.0
2026-03-14,goodmolecules,107055.0,1928180,,172530.0,754.0,4322.0
